timestamp,x_coor,y_coor,z_coor
1675435318.359541448,-0.115,0.000,2.607
1675435319.199632467,-0.111,0.000,2.613
1675435320.479656448,-0.144,0.000,2.609
1675435321.279709467,-0.119,0.000,2.607
1675435322.479783467,-0.084,0.000,2.626
1675435323.399829467,-0.121,0.000,2.618
1675435324.319894448,-0.143,0.000,2.614
1675435325.279955448,-0.142,0.000,2.611
1675435326.400020448,-0.128,0.000,2.612
1675435327.400072448,-0.100,0.000,2.622
1675435328.360125448,-0.106,0.000,2.629
1675435329.360187466,-0.142,0.000,2.627
1675435330.784401571,-0.372,0.000,2.622
1675435331.400318448,-0.486,0.000,2.628
1675435332.320377448,-0.396,0.000,2.642
1675435333.400449448,-0.293,0.000,2.605
1675435334.320527467,-0.319,0.000,2.583
1675435335.320565466,-0.347,0.000,2.523
1675435336.584390055,-0.398,0.000,2.424
1675435337.360790448,-0.456,0.000,2.524
1675435338.440763448,-0.458,0.000,2.520
1675435339.200818448,-0.510,0.000,2.518
1675435340.240895467,-0.413,0.000,2.526
1675435341.320958466,-0.340,0.000,2.518
1675435342.321055466,-0.347,0.000,2.442
1675435343.321090448,-0.419,0.000,2.397
1675435344.401185467,-0.330,0.000,2.352
1675435345.401274467,-0.090,0.000,2.375
1675435346.401302448,-0.137,0.000,2.317
1675435347.321374466,-0.049,0.000,2.268
1675435348.441489448,-0.047,0.000,2.242
1675435349.361499467,-0.032,0.000,2.310
1675435350.241573467,-0.136,0.000,2.322
1675435351.401660467,-0.197,0.000,2.271
1675435352.321753467,-0.179,0.000,2.227
1675435353.401793467,-0.135,0.000,2.171
1675435354.401852448,-0.171,0.000,2.105
1675435355.321932448,-0.263,0.000,2.090
1675435356.441993467,-0.304,0.000,2.084
1675435357.322079448,-0.327,0.000,2.094
1675435358.362142466,-0.297,0.000,2.125
1675435359.482235467,-0.147,0.000,2.096
1675435360.442299466,-0.174,0.000,2.020
1675435361.384407267,-0.133,0.000,1.963
1675435362.402431467,-0.158,0.000,1.897
1675435363.242496467,-0.083,0.000,1.886
1675435364.242592467,-0.097,0.000,1.856
1675435365.322665448,-0.213,0.000,1.770
1675435366.322732448,-0.313,0.000,1.733
1675435367.322807485,-0.347,0.000,1.731
1675435368.322901448,-0.332,0.000,1.744
1675435369.322962466,-0.172,0.000,1.763
1675435370.323022448,-0.178,0.000,1.728
1675435371.403112448,-0.158,0.000,1.687
1675435372.323183448,-0.156,0.000,1.639
1675435373.323288466,-0.108,0.000,1.618
1675435374.323341448,-0.115,0.000,1.522
1675435375.363425448,-0.048,0.000,1.435
1675435376.403500485,0.022,0.000,1.419
1675435377.323577448,0.023,0.000,1.430
1675435378.443657466,0.012,0.000,1.450
1675435379.323723448,-0.000,0.000,1.461
1675435380.323802448,-0.041,0.000,1.480
1675435381.283871448,-0.068,0.000,1.451
1675435382.323948448,-0.099,0.000,1.389
1675435383.324030448,-0.103,0.000,1.297
1675435384.284114448,-0.103,0.000,1.211
1675435385.284198448,-0.087,0.000,1.115
1675435386.284300448,-0.070,0.000,1.099
1675435387.324359448,-0.066,0.000,1.131
1675435388.324426448,-0.063,0.000,1.146
1675435389.324535466,-0.057,0.000,1.051
1675435390.404591448,-0.038,0.000,0.993
1675435391.404690467,-0.035,0.000,0.935
1675435392.404761448,-0.033,0.000,0.868
1675435393.284826448,-0.019,0.000,0.822
1675435394.404967467,0.002,0.000,0.717
1675435395.404992448,0.001,0.000,0.695
1675435396.325079448,-0.008,0.000,0.703
1675435397.405170466,-0.014,0.000,0.720
1675435398.405256466,-0.025,0.000,0.721
1675435399.405413466,-0.016,0.000,0.668
1675435400.405403467,-0.012,0.000,0.602
1675435401.405494448,-0.018,0.000,0.512
1675435402.405578466,-0.028,0.000,0.477
1675435403.325656448,-0.028,0.000,0.372
1675435404.205715448,-0.027,0.000,0.308
1675435405.984490707,-0.008,0.000,0.254
1675435406.984390320,0.002,0.000,0.222
1675435407.984391329,0.014,0.000,0.187
1675435408.984395130,0.028,0.000,0.154
1675435409.984405856,0.045,0.000,0.125
1675435410.984406368,0.065,0.000,0.100
